month,zone,egg_color,egg_size,observed_wholesale_clp_per_dozen,source_notes
2025-09,Region Metropolitana,blanco,XL,2460.0,Yemita 180 Unidades por caja
2025-09,Region Metropolitana,blanco,L,2220.0,Yemita 180 Unidades por caja
2025-09,Region Metropolitana,blanco,M,2040.0,Yemita 180 Unidades por caja
2025-09,Region Metropolitana,blanco,S,1860.0,Yemita 180 Unidades por caja
2025-09,Region Metropolitana,color,XL,2460.0,Yemita 180 Unidades por caja
2025-09,Region Metropolitana,color,L,2184.0,Yemita 180 Unidades por caja
2025-09,Region Metropolitana,color,M,2004.0,Yemita 180 Unidades por caja
2025-09,Region Metropolitana,color,S,1824.0,Yemita 180 Unidades por caja
2025-07,Region Metropolitana,blanco,XL,2400.0,Yemita 180 Unidades por caja
2025-07,Region Metropolitana,blanco,L,2160.0,Yemita 180 Unidades por caja
2025-07,Region Metropolitana,blanco,M,1980.0,Yemita 180 Unidades por caja
2025-07,Region Metropolitana,blanco,S,1860.0,Yemita 180 Unidades por caja
2025-07,Region Metropolitana,color,XL,2460.0,Yemita 180 Unidades por caja
2025-07,Region Metropolitana,color,L,2220.0,Yemita 180 Unidades por caja
2025-07,Region Metropolitana,color,M,2040.0,Yemita 180 Unidades por caja
2025-07,Region Metropolitana,color,S,1860.0,Yemita 180 Unidades por caja
2025-06,Region Metropolitana,blanco,XL,2340.0,Yemita 180 Unidades por caja
2025-06,Region Metropolitana,blanco,L,2220.0,Yemita 180 Unidades por caja
2025-06,Region Metropolitana,blanco,M,1980.0,Yemita 180 Unidades por caja
2025-06,Region Metropolitana,blanco,S,1860.0,Yemita 180 Unidades por caja
2025-06,Region Metropolitana,color,XL,2460.0,Yemita 180 Unidades por caja
2025-06,Region Metropolitana,color,L,2280.0,Yemita 180 Unidades por caja
2025-06,Region Metropolitana,color,M,2040.0,Yemita 180 Unidades por caja
2025-06,Region Metropolitana,color,S,1920.0,Yemita 180 Unidades por caja
2025-04,Region Metropolitana,blanco,XL,2400.0,Yemita 180 Unidades por caja
2025-04,Region Metropolitana,blanco,L,2280.0,Yemita 180 Unidades por caja
2025-04,Region Metropolitana,blanco,M,2220.0,Yemita 180 Unidades por caja
2025-04,Region Metropolitana,blanco,S,2040.0,Yemita 180 Unidades por caja
2025-04,Region Metropolitana,color,XL,2520.0,Yemita 180 Unidades por caja
2025-04,Region Metropolitana,color,L,2388.0,Yemita 180 Unidades por caja
2025-04,Region Metropolitana,color,M,2220.0,Yemita 180 Unidades por caja
2025-04,Region Metropolitana,color,S,2040.0,Yemita 180 Unidades por caja
2025-03,Region Metropolitana,blanco,XL,2340.0,Yemita 180 Unidades por caja
2025-03,Region Metropolitana,blanco,L,2220.0,Yemita 180 Unidades por caja
2025-03,Region Metropolitana,blanco,M,2100.0,Yemita 180 Unidades por caja
2025-03,Region Metropolitana,blanco,S,1800.0,Yemita 180 Unidades por caja
2025-03,Region Metropolitana,color,XL,2364.0,Yemita 180 Unidades por caja
2025-03,Region Metropolitana,color,L,2244.0,Yemita 180 Unidades por caja
2025-03,Region Metropolitana,color,M,2124.0,Yemita 180 Unidades por caja
2025-03,Region Metropolitana,color,S,1824.0,Yemita 180 Unidades por caja
2025-02,Region Metropolitana,blanco,XL,2040.0,Yemita 180 Unidades por caja
2025-02,Region Metropolitana,blanco,L,1980.0,Yemita 180 Unidades por caja
2025-02,Region Metropolitana,blanco,M,1740.0,Yemita 180 Unidades por caja
2025-02,Region Metropolitana,blanco,S,1440.0,Yemita 180 Unidades por caja
2025-02,Region Metropolitana,color,XL,2040.0,Yemita 180 Unidades por caja
2025-02,Region Metropolitana,color,L,1980.0,Yemita 180 Unidades por caja
2025-02,Region Metropolitana,color,M,1740.0,Yemita 180 Unidades por caja
2025-02,Region Metropolitana,color,S,1440.0,Yemita 180 Unidades por caja
2024-10,Region Metropolitana,blanco,XL,1800.0,Yemita 180 Unidades por caja
2024-10,Region Metropolitana,blanco,L,1620.0,Yemita 180 Unidades por caja
2024-10,Region Metropolitana,blanco,M,1260.0,Yemita 180 Unidades por caja
2024-10,Region Metropolitana,blanco,S,1140.0,Yemita 180 Unidades por caja
2024-10,Region Metropolitana,color,XL,1800.0,Yemita 180 Unidades por caja
2024-10,Region Metropolitana,color,L,1620.0,Yemita 180 Unidades por caja
2024-10,Region Metropolitana,color,M,1260.0,Yemita 180 Unidades por caja
2024-10,Region Metropolitana,color,S,1140.0,Yemita 180 Unidades por caja
2024-06,Region Metropolitana,blanco,XL,2460.0,Yemita 180 Unidades por caja
2024-06,Region Metropolitana,blanco,L,2244.0,Yemita 180 Unidades por caja
2024-06,Region Metropolitana,blanco,M,2064.0,Yemita 180 Unidades por caja
2024-06,Region Metropolitana,blanco,S,1824.0,Yemita 180 Unidades por caja
2024-06,Region Metropolitana,color,XL,2484.0,Yemita 180 Unidades por caja
2024-06,Region Metropolitana,color,L,2268.0,Yemita 180 Unidades por caja
2024-06,Region Metropolitana,color,M,2088.0,Yemita 180 Unidades por caja
2024-06,Region Metropolitana,color,S,1824.0,Yemita 180 Unidades por caja
2023-12,Region Metropolitana,blanco,XL,1680.0,Yemita 180 Unidades por caja
2023-12,Region Metropolitana,blanco,L,1428.0,Yemita 180 Unidades por caja
2023-12,Region Metropolitana,blanco,M,1344.0,Yemita 180 Unidades por caja
2023-12,Region Metropolitana,blanco,S,1296.0,Yemita 180 Unidades por caja
2023-12,Region Metropolitana,color,XL,1656.0,Yemita 180 Unidades por caja
2023-12,Region Metropolitana,color,L,1404.0,Yemita 180 Unidades por caja
2023-12,Region Metropolitana,color,M,1320.0,Yemita 180 Unidades por caja
2023-12,Region Metropolitana,color,S,1296.0,Yemita 180 Unidades por caja
2023-05,Region Metropolitana,blanco,XL,2640.0,Yemita 180 Unidades por caja
2023-05,Region Metropolitana,blanco,L,2340.0,Yemita 180 Unidades por caja
2023-05,Region Metropolitana,blanco,M,2280.0,Yemita 180 Unidades por caja
2023-05,Region Metropolitana,blanco,S,2220.0,Yemita 180 Unidades por caja
2023-05,Region Metropolitana,color,XL,2640.0,Yemita 180 Unidades por caja
2023-05,Region Metropolitana,color,L,2340.0,Yemita 180 Unidades por caja
2023-05,Region Metropolitana,color,M,2280.0,Yemita 180 Unidades por caja
2023-05,Region Metropolitana,color,S,2220.0,Yemita 180 Unidades por caja
2023-03,Region Metropolitana,blanco,XL,2220.0,Yemita 180 Unidades por caja
2023-03,Region Metropolitana,blanco,L,2100.0,Yemita 180 Unidades por caja
2023-03,Region Metropolitana,blanco,M,2040.0,Yemita 180 Unidades por caja
2023-03,Region Metropolitana,blanco,S,2016.0,Yemita 180 Unidades por caja
2023-03,Region Metropolitana,color,XL,2244.0,Yemita 180 Unidades por caja
2023-03,Region Metropolitana,color,L,2124.0,Yemita 180 Unidades por caja
2023-03,Region Metropolitana,color,M,2040.0,Yemita 180 Unidades por caja
2023-03,Region Metropolitana,color,S,2016.0,Yemita 180 Unidades por caja
2022-10,Region Metropolitana,blanco,XL,1704.0,Yemita 180 Unidades por caja
2022-10,Region Metropolitana,blanco,L,1560.0,Yemita 180 Unidades por caja
2022-10,Region Metropolitana,blanco,M,1440.0,Yemita 180 Unidades por caja
2022-10,Region Metropolitana,blanco,S,1380.0,Yemita 180 Unidades por caja
2022-10,Region Metropolitana,color,XL,1764.0,Yemita 180 Unidades por caja
2022-10,Region Metropolitana,color,L,1644.0,Yemita 180 Unidades por caja
2022-10,Region Metropolitana,color,M,1560.0,Yemita 180 Unidades por caja
2022-10,Region Metropolitana,color,S,1380.0,Yemita 180 Unidades por caja
2022-08,Region Metropolitana,blanco,XL,1704.0,Yemita 180 Unidades por caja
2022-08,Region Metropolitana,blanco,L,1560.0,Yemita 180 Unidades por caja
2022-08,Region Metropolitana,blanco,M,1500.0,Yemita 180 Unidades por caja
2022-08,Region Metropolitana,blanco,S,1428.0,Yemita 180 Unidades por caja
2022-08,Region Metropolitana,color,XL,1764.0,Yemita 180 Unidades por caja
2022-08,Region Metropolitana,color,L,1620.0,Yemita 180 Unidades por caja
2022-08,Region Metropolitana,color,M,1536.0,Yemita 180 Unidades por caja
2022-08,Region Metropolitana,color,S,1428.0,Yemita 180 Unidades por caja
2022-06,Region Metropolitana,blanco,XL,1608.0,Yemita 180 Unidades por caja
2022-06,Region Metropolitana,blanco,L,1440.0,Yemita 180 Unidades por caja
2022-06,Region Metropolitana,blanco,M,1356.0,Yemita 180 Unidades por caja
2022-06,Region Metropolitana,blanco,S,1284.0,Yemita 180 Unidades por caja
2022-06,Region Metropolitana,color,XL,1632.0,Yemita 180 Unidades por caja
2022-06,Region Metropolitana,color,L,1464.0,Yemita 180 Unidades por caja
2022-06,Region Metropolitana,color,M,1380.0,Yemita 180 Unidades por caja
2022-06,Region Metropolitana,color,S,1284.0,Yemita 180 Unidades por caja
2022-01,Region Metropolitana,blanco,XL,960.0,Yemita 180 Unidades por caja
2022-01,Region Metropolitana,blanco,L,744.0,Yemita 180 Unidades por caja
2022-01,Region Metropolitana,blanco,M,480.0,Yemita 180 Unidades por caja
2022-01,Region Metropolitana,blanco,S,360.0,Yemita 180 Unidades por caja
2022-01,Region Metropolitana,color,XL,960.0,Yemita 180 Unidades por caja
2022-01,Region Metropolitana,color,L,744.0,Yemita 180 Unidades por caja
2022-01,Region Metropolitana,color,M,540.0,Yemita 180 Unidades por caja
2022-01,Region Metropolitana,color,S,360.0,Yemita 180 Unidades por caja
2021-10,Region Metropolitana,blanco,XL,828.0,Yemita 180 Unidades por caja
2021-10,Region Metropolitana,blanco,L,660.0,Yemita 180 Unidades por caja
2021-10,Region Metropolitana,blanco,M,588.0,Yemita 180 Unidades por caja
2021-10,Region Metropolitana,blanco,S,564.0,Yemita 180 Unidades por caja
2021-10,Region Metropolitana,color,XL,828.0,Yemita 180 Unidades por caja
2021-10,Region Metropolitana,color,L,660.0,Yemita 180 Unidades por caja
2021-10,Region Metropolitana,color,M,600.0,Yemita 180 Unidades por caja
2021-10,Region Metropolitana,color,S,576.0,Yemita 180 Unidades por caja
2021-09,Region Metropolitana,blanco,XL,948.0,Yemita 180 Unidades por caja
2021-09,Region Metropolitana,blanco,L,792.0,Yemita 180 Unidades por caja
2021-09,Region Metropolitana,blanco,M,720.0,Yemita 180 Unidades por caja
2021-09,Region Metropolitana,blanco,S,696.0,Yemita 180 Unidades por caja
2021-09,Region Metropolitana,color,XL,900.0,Yemita 180 Unidades por caja
2021-09,Region Metropolitana,color,L,792.0,Yemita 180 Unidades por caja
2021-09,Region Metropolitana,color,M,696.0,Yemita 180 Unidades por caja
2021-09,Region Metropolitana,color,S,672.0,Yemita 180 Unidades por caja
2021-07,Region Metropolitana,blanco,XL,984.0,Yemita 180 Unidades por caja
2021-07,Region Metropolitana,blanco,L,840.0,Yemita 180 Unidades por caja
2021-07,Region Metropolitana,blanco,M,720.0,Yemita 180 Unidades por caja
2021-07,Region Metropolitana,blanco,S,696.0,Yemita 180 Unidades por caja
2021-07,Region Metropolitana,color,XL,1176.0,Yemita 180 Unidades por caja
2021-07,Region Metropolitana,color,L,1032.0,Yemita 180 Unidades por caja
2021-07,Region Metropolitana,color,M,780.0,Yemita 180 Unidades por caja
2021-07,Region Metropolitana,color,S,696.0,Yemita 180 Unidades por caja
2021-01,Region Metropolitana,blanco,XL,648.0,Yemita 180 Unidades por caja
2021-01,Region Metropolitana,blanco,L,612.0,Yemita 180 Unidades por caja
2021-01,Region Metropolitana,blanco,M,516.0,Yemita 180 Unidades por caja
2021-01,Region Metropolitana,blanco,S,432.0,Yemita 180 Unidades por caja
2021-01,Region Metropolitana,color,XL,864.0,Yemita 180 Unidades por caja
2021-01,Region Metropolitana,color,L,588.0,Yemita 180 Unidades por caja
2021-01,Region Metropolitana,color,M,492.0,Yemita 180 Unidades por caja
2021-01,Region Metropolitana,color,S,408.0,Yemita 180 Unidades por caja
2020-11,Region Metropolitana,blanco,XL,852.0,Yemita 180 Unidades por caja
2020-11,Region Metropolitana,blanco,L,720.0,Yemita 180 Unidades por caja
2020-11,Region Metropolitana,blanco,M,684.0,Yemita 180 Unidades por caja
2020-11,Region Metropolitana,blanco,S,672.0,Yemita 180 Unidades por caja
2020-11,Region Metropolitana,color,XL,888.0,Yemita 180 Unidades por caja
2020-11,Region Metropolitana,color,L,780.0,Yemita 180 Unidades por caja
2020-11,Region Metropolitana,color,M,684.0,Yemita 180 Unidades por caja
2020-11,Region Metropolitana,color,S,672.0,Yemita 180 Unidades por caja
2020-09,Region Metropolitana,blanco,XL,1109.0,Yemita 180 Unidades por caja
2020-09,Region Metropolitana,blanco,L,958.0,Yemita 180 Unidades por caja
2020-09,Region Metropolitana,blanco,M,948.0,Yemita 180 Unidades por caja
2020-09,Region Metropolitana,blanco,S,938.0,Yemita 180 Unidades por caja
2020-09,Region Metropolitana,color,XL,1180.0,Yemita 180 Unidades por caja
2020-09,Region Metropolitana,color,L,1018.0,Yemita 180 Unidades por caja
2020-09,Region Metropolitana,color,M,968.0,Yemita 180 Unidades por caja
2020-09,Region Metropolitana,color,S,948.0,Yemita 180 Unidades por caja
