level;zone;m01;m02;m03;m04;m05;m06;m07;m08;m09;m10;m11;m12;base_median;egg_color;egg_size
zone;Región Metropolitana de Santiago;0,994;0,983;0,994;1,004;1,004;1,018;1,039;1,02;1,003;1,001;1,002;0,992;1933,378;;
zone;Región de Arica y Parinacota;0,977;0,968;0,984;0,985;0,99;1,032;1,02;1,024;1,025;1,001;0,993;0,988;1979,715;;
zone;Región de Coquimbo;0,994;0,974;0,993;0,989;1,008;1,024;1,02;1,007;1,006;1,003;0,997;1,013;1971,425;;
zone;Región de La Araucanía;0,963;0,968;0,974;0,986;1,001;1,031;1,031;1,024;1,029;1,003;0,996;0,965;1953,64;;
zone;Región de Los Lagos;0,97;0,953;0,973;0,988;0,999;1,018;1,028;1,023;1,02;0,999;0,986;0,976;2022,182;;
zone;Región de Valparaíso;0,987;0,988;0,984;0,991;1,019;1,035;1,028;1,014;1,013;1,011;0,999;0,989;1942,668;;
zone;Región de Ñuble;0,94;0,935;0,97;1,003;1,075;1,103;1,12;1,121;1,063;0,959;0,943;0,943;2144,911;;
zone;Región del Biobío;0,988;0,957;0,979;0,987;0,998;1,011;1,008;1,016;1,032;0,995;0,999;0,987;1974,62;;
zone;Región del Maule;0,982;0,979;0,977;1,0;1,003;1,017;1,008;1,014;1,007;0,991;1,007;0,994;1939,605;;
zone_color;Región Metropolitana de Santiago;0,985;0,981;0,989;0,997;1,023;1,038;1,061;1,041;1,017;0,993;0,989;0,992;1848,66;blanco;
zone_color;Región Metropolitana de Santiago;0,995;0,981;0,985;0,997;1,018;1,038;1,052;1,047;1,031;0,991;0,993;0,987;1956,53;color;
zone_color;Región de Arica y Parinacota;0,965;0,968;0,997;0,992;1,0;1,04;1,009;1,035;0,994;1,012;1,006;0,985;1884,0;blanco;
zone_color;Región de Arica y Parinacota;0,975;0,977;0,978;0,986;0,977;1,022;1,041;1,006;1,049;1,002;1,004;0,987;2030,251;color;
zone_color;Región de Coquimbo;0,983;0,98;1,02;0,972;1,033;1,038;1,034;1,018;0,992;0,989;1,009;0,975;1886,5;blanco;
zone_color;Región de Coquimbo;0,999;0,994;0,998;0,985;1,007;1,033;1,031;1,026;1,013;0,993;0,984;1,0;2011,548;color;
zone_color;Región de La Araucanía;0,962;0,958;0,967;1,01;1,02;1,064;1,069;1,019;1,016;0,988;0,982;0,98;1867,623;blanco;
zone_color;Región de La Araucanía;0,981;0,984;0,97;0,987;1,0;1,042;1,026;1,018;1,022;1,0;0,982;0,984;1992,597;color;
zone_color;Región de Los Lagos;0,975;0,983;0,968;0,995;1,023;1,06;1,082;1,02;1,034;0,993;0,987;0,974;1915,255;blanco;
zone_color;Región de Los Lagos;0,957;0,961;0,989;1,001;0,982;1,01;1,031;1,032;1,027;1,007;0,969;0,972;2061,298;color;
zone_color;Región de Valparaíso;0,984;0,993;0,988;0,981;1,032;1,052;1,041;1,028;1,029;0,991;0,993;1,001;1868,26;blanco;
zone_color;Región de Valparaíso;0,987;0,98;0,984;0,978;1,018;1,034;1,023;1,019;1,017;1,018;0,996;0,996;1967,77;color;
zone_color;Región de Ñuble;0,979;0,968;0,989;1,025;1,099;1,143;1,165;1,165;1,104;1,0;0,98;0,979;1991,8;blanco;
zone_color;Región de Ñuble;0,959;0,955;0,991;1,043;1,117;1,131;1,145;1,147;1,072;0,979;0,965;0,964;2169,0;color;
zone_color;Región del Biobío;0,996;0,999;0,992;0,984;0,978;1,031;1,041;1,044;1,057;1,0;0,995;0,989;1853,4;blanco;
zone_color;Región del Biobío;0,985;0,994;0,993;0,997;0,991;1,015;0,993;1,012;1,03;0,999;1,016;1,012;2006,165;color;
zone_color;Región del Maule;0,984;0,983;0,986;0,997;1,01;1,022;1,019;1,021;1,025;0,993;0,988;0,999;1829,8;blanco;
zone_color;Región del Maule;0,985;0,993;1,0;0,997;0,986;1,0;1,003;1,015;1,009;1,004;1,007;1,0;1977,07;color;
zone_color_size;Región Metropolitana de Santiago;0,985;0,981;0,989;0,997;1,023;1,038;1,061;1,041;1,017;0,993;0,989;0,992;1848,66;blanco;L
zone_color_size;Región Metropolitana de Santiago;0,995;0,981;0,985;0,997;1,018;1,038;1,052;1,047;1,031;0,991;0,993;0,987;1956,53;color;L
zone_color_size;Región de Arica y Parinacota;0,965;0,968;0,997;0,992;1,0;1,04;1,009;1,035;0,994;1,012;1,006;0,985;1884,0;blanco;L
zone_color_size;Región de Arica y Parinacota;0,975;0,977;0,978;0,986;0,977;1,022;1,041;1,006;1,049;1,002;1,004;0,987;2030,251;color;L
zone_color_size;Región de Coquimbo;0,983;0,98;1,02;0,972;1,033;1,038;1,034;1,018;0,992;0,989;1,009;0,975;1886,5;blanco;L
zone_color_size;Región de Coquimbo;0,999;0,994;0,998;0,985;1,007;1,033;1,031;1,026;1,013;0,993;0,984;1,0;2011,548;color;L
zone_color_size;Región de La Araucanía;0,962;0,958;0,967;1,01;1,02;1,064;1,069;1,019;1,016;0,988;0,982;0,98;1867,623;blanco;L
zone_color_size;Región de La Araucanía;0,981;0,984;0,97;0,987;1,0;1,042;1,026;1,018;1,022;1,0;0,982;0,984;1992,597;color;L
zone_color_size;Región de Los Lagos;0,975;0,983;0,968;0,995;1,023;1,06;1,082;1,02;1,034;0,993;0,987;0,974;1915,255;blanco;L
zone_color_size;Región de Los Lagos;0,957;0,961;0,989;1,001;0,982;1,01;1,031;1,032;1,027;1,007;0,969;0,972;2061,298;color;L
zone_color_size;Región de Valparaíso;0,984;0,993;0,988;0,981;1,032;1,052;1,041;1,028;1,029;0,991;0,993;1,001;1868,26;blanco;L
zone_color_size;Región de Valparaíso;0,987;0,98;0,984;0,978;1,018;1,034;1,023;1,019;1,017;1,018;0,996;0,996;1967,77;color;L
zone_color_size;Región de Ñuble;0,979;0,968;0,989;1,025;1,099;1,143;1,165;1,165;1,104;1,0;0,98;0,979;1991,8;blanco;L
zone_color_size;Región de Ñuble;0,959;0,955;0,991;1,043;1,117;1,131;1,145;1,147;1,072;0,979;0,965;0,964;2169,0;color;L
zone_color_size;Región del Biobío;0,996;0,999;0,992;0,984;0,978;1,031;1,041;1,044;1,057;1,0;0,995;0,989;1853,4;blanco;L
zone_color_size;Región del Biobío;0,985;0,994;0,993;0,997;0,991;1,015;0,993;1,012;1,03;0,999;1,016;1,012;2006,165;color;L
zone_color_size;Región del Maule;0,984;0,983;0,986;0,997;1,01;1,022;1,019;1,021;1,025;0,993;0,988;0,999;1829,8;blanco;L
zone_color_size;Región del Maule;0,985;0,993;1,0;0,997;0,986;1,0;1,003;1,015;1,009;1,004;1,007;1,0;1977,07;color;L
